Key,en,he,it,es,fr,ar
_direction,ltr,rtl,ltr,ltr,ltr,rtl
app_title,HO-AI,ארגונית,HO-AI,HO-AI,HO-AI,منظم
default_path,Main,ראשי,Principale,Principal,Principal,رئيسي
loading,Loading...,טוען...,Caricamento...,Cargando...,Chargement...,جار التحميل...
shopping_list,List,רשימה,Lista,Lista,Liste,قائمة
search_results,Search Results,תוצאות חיפוש,Risultati di ricerca,Resultados de la búsqueda,Résultats de recherche,نتائج البحث
search_placeholder,Search...,חיפוש...,Cerca...,Buscar...,Chercher...,بحث...
change_icon,Change Icon,שנה סמל,Cambia icona,Cambiar icono,Changer d'icône,تغيير الرمز
upload_file,Upload File,העלה קובץ,Carica file,Subir archivo,Télécharger un fichier,رفع ملف
paste_url,Paste Image URL...,הדבק כתובת תמונה...,Incolla URL immagine...,Pegar URL de imagen...,Coller l'URL de l'image...,لصق رابط الصورة...
cancel,Cancel,ביטול,Annulla,Cancelar,Annuler,إلغاء
back,Back,חזרה,Indietro,Atrás,Retour,عودة
language,Language,שפה,Lingua,Idioma,Langue,لغة
theme,Theme,ערכת נושא,Tema,Tema,Thème,موضوع
light,Light,בהיר,Chiaro,Claro,Clair,فاتح
dark,Dark,כהה,Scuro,Oscuro,Sombre,داكن
about,About,אודות,Informazioni,Acerca de,À propos,حول
page,Page,עמוד,Pagina,Página,Page,صفحة
of,of,מתוך,di,de,sur,من
add,Add,הוסף,Aggiungi,Añadir,Ajouter,إضافة
add_room,Add Room,הוסף חדר,Aggiungi stanza,Añadir habitación,Ajouter une pièce,إضافة غرفة
add_sub,Add Sublocation,הוסף תת-מיקום,Aggiungi sotto-luogo,Añadir sububicación,Ajouter un sous-emplacement,إضافة موقع فرعي
add_zone_btn,Add Zone,הוסף אזור,Aggiungi zona,Añadir zona,Ajouter une zone,إضافة منطقة
new_zone,New Zone,אזור חדש,Nuova zona,Nueva zona,Nouvelle zone,منطقة جديدة
new_item,New Item,פריט חדש,Nuovo articolo,Nuevo artículo,Nouvel article,عنصر جديد
out_of_stock,Out of Stock,חסר במלאי,Esaurito,Agotado,Rupture de stock,نفذ من المخزون
saving,Saving...,שומר...,Salvataggio...,Guardando...,Enregistrement...,جاري الحفظ...
name_placeholder,Name,שם,Nome,Nombre,Nom,الاسم
set_date,Set Date,קבע תאריך,Imposta data,Establecer fecha,Définir la date,تحديد التاريخ
select_room,Select Room,בחר חדר,Seleziona stanza,Seleccionar habitación,Sélectionner une pièce,اختر غرفة
select_loc,Select Location,בחר מיקום,Seleziona posizione,Seleccionar ubicación,Sélectionner un emplacement,اختر موقعاً
select_subloc,Select Sublocation,בחר תת-מיקום,Seleziona sotto-posizione,Seleccionar sububicación,Sélectionner un sous-emplacement,اختر موقعاً فرعياً
select_cat,Select Category,בחר קטגוריה,Seleziona categoria,Seleccionar categoría,Sélectionner une catégorie,اختر الفئة
select_sub,Select Subcategory,בחר תת-קטגוריה,Seleziona sottocategoria,Seleccionar subcategoría,Sélectionner une sous-catégorie,اختر الفئة الفرعية
zone_General_Rooms,General Rooms,חדרים כלליים,Stanze generali,Habitaciones generali,Pièces générales,غرف عامة
quantity,Qty,כמות,Qtà,Cant,Qté,الكمية
no_date,No Date,אין תאריך,Nessuna data,Sin fecha,Aucune date,لا يوجد تاريخ
confirm_del_folder,Delete folder {0} and ALL its contents?,למחוק את התיקייה {0} ואת כל תוכנה?,Eliminare la cartella {0} e TUTTO il suo contenuto?,¿Eliminar la carpeta {0} y TODO su contenido?,Supprimer le dossier {0} et TOUT son contenu?,هل تريد حذف المجلد {0} وكل محتوياته؟
confirm_del_item,Delete this item?,למחוק פריט זה?,Eliminare questo articolo?,¿Eliminar este artículo?,Supprimer cet article?,هل تريد حذف هذا العنصر؟
confirm_del_zone,Delete zone {0}?,למחוק את אזור {0}?,Eliminare la zona {0}?,¿Eliminar la zona {0}?,Supprimer la zone {0}?,هل تريد حذف المنطقة {0}؟
save_to,Save to,שמור אל,Salva in,Guardar en,Enregistrer dans,حفظ في
take_photo,Take Photo,צלם תמונה,Scatta foto,Tomar foto,Prendre une photo,التقاط صورة
change_img,Change Image,שנה תמונה,Cambia immagine,Cambiar imagen,Changer l'image,تغيير الصورة
duplicate,Duplicate,שכפל,Duplica,Duplicar,Dupliquer,تكرار
delete,Delete,מחק,Elimina,Eliminar,Supprimer,حذف
ai_chat_title,AI Chat Assistant,עוזר בינה מלאכותית,Assistente AI Chat,Asistente de chat IA,Assistant Chat IA,مساعد الدردشة الذكي
chat_placeholder,Type message or scan invoice...,הקלד הודעה או סרוק חשבונית...,Scrivi un messaggio o scansiona fattura...,Escribe un mensaje o escanea factura...,Tapez un message ou scannez la facture...,اكتب رسالة أو امسح فاتورة...
file_attached,File attached (Invoice Scan Mode),קובץ מצורף (מצב סריקת חשבונית),File allegato (Scansione fattura),Archivo adjunto (Escaneo de factura),Fichier joint (Scan de facture),تم إرفاق الملف (وضع مسح الفاتورة)
ai_welcome_title,AI Assistant Ready,העוזר החכם מוכן,Assistente AI pronto,Asistente IA listo,Assistant IA prêt,المساعد الذكي جاهز
ai_welcome_desc,I can help manage your inventory.,אני יכול לעזור לנהל את המלאי שלך.,Posso aiutare a gestire l'inventario.,Puedo ayudar a gestionar tu inventario.,Je peux aider à gérer votre inventaire.,يمكنني المساعدة في إدارة مخزونك.
ai_caps,Capabilities:,יכולות:,Capacità:,Capacidades:,Capacités:,القدرات:
ai_cap_1,Add Items: 'Add 3 batteries to kitchen',הוספת פריטים: 'הוסף 3 סוללות למטבח',Aggiungi articoli: 'Aggiungi 3 batterie in cucina',Añadir artículos: 'Añade 3 pilas a la cocina',Ajouter des articles : 'Ajouter 3 piles à la cuisine',إضافة عناصر: 'إضافة 3 بطاريات إلى المطبخ'
ai_cap_2,Scan Invoices: Tap the camera icon!,סריקת חשבוניות: לחץ על סמל המצלמה!,Scansiona fatture: tocca l'icona fotocamera!,Escanear facturas: ¡Toca el icono de la cámara!,Scanner des factures : Appuyez sur l'icône caméra !,مسح الفواتير: اضغط على أيقونة الكاميرا!
ai_cap_3,Find things: 'Where is the milk?',חיפוש פריטים: 'איפה החלב?',Trova cose: 'Dov'è il latte?',Encontrar cosas: '¿Dónde está la leche?',Trouver des choses : 'Où est le lait ?',العثور على الأشياء: 'أين الحليب؟'
ai_cap_4,Reports: 'What is in the garage?',דוחות: 'מה יש במוסך?',Report: 'Cosa c'è in garage?',Informes: '¿Qué hay en el garaje?',Rapports : 'Qu'y a-t-il dans le garage ?',التقارير: 'ماذا يوجد في المرآب؟'
scanning_invoice,Scanning Invoice...,סורק חשבונית...,Scansione fattura...,Escaneando factura...,Scan de la facture...,جاري مسح الفاتورة...
analyzing,Analyzing...,מנתח...,Analisi...,Analizando...,Analyse...,جاري التحليل...
starting_process,Starting Process...,מתחיל תהליך...,Avvio processo...,Iniciando proceso...,Démarrage du processus...,بدء العملية...
complete,Complete,הושלם,Completato,Completado,Terminé,مكتمل
failed,Failed,נכשל,Fallito,Falló,Échoué,فشل
error,Error,שגיאה,Errore,Error,Erreur,خطأ
scanned_invoice,Scanned Invoice,חשבונית שנסרקה,Fattura scansionata,Factura escaneada,Facture numérisée,فاتورة ممسوحة
cat_Food,Food,מזון,Cibo,Comida,Nourriture,طعام
cat_Cleaning_Home_Maintenance,Cleaning & Home,ניקיון ותחזוקת הבית,Pulizia e casa,Limpieza y hogar,Nettoyage et maison,تنظيف وصيانة المنزل
cat_Toiletries_Pharmacy,Toiletries & Pharmacy,טואלטיקה ופארמה,Bagno e farmacia,Aseo y farmacia,Toilette et pharmacie,مستلزمات العناية الشخصية والصيدلية
cat_General_Home_Office_Supplies,General & Office,ציוד כללי ומשרדי,Generale e ufficio,General y oficina,Général et bureau,لوازم عامة ومكتبية
cat_Tools_Home_Maintenance,Tools & Maintenance,כלי עבודה ותחזוקה,Strumenti e manutenzione,Herramientas y mantenimiento,Outils et entretien,أدوات وصيانة المنزل
cat_Medicines_First_Aid,Medicines & First Aid,תרופות ועזרה ראשונה,Farmaci e primo soccorso,Medicamentos y primeros auxilios,Médicaments et premiers soins,أدوية وإسعافات أولية
cat_Kitchenware,Kitchenware,כלי מטבח,Utensili da cucina,Utensilios de cocina,Ustensiles de cuisine,أدوات المطبخ
cat_Electronics_Entertainment,Electronics & Ent.,אלקטרוניקה ובידור,Elettronica e int.,Electrónica y ent.,Électronique et div.,إلكترونيات وترفيه
cat_Clothing_Footwear,Clothing & Footwear,ביגוד והנעלה,Abbigliamento e calzature,Ropa y calzado,Vêtements et chaussures,ملابس وأحذية
cat_Home_Textiles_Bedding,Textiles & Bedding,טקסטיל ומצעים,Tessili e biancheria,Textiles y ropa de cama,Textiles et literie,منسوجات ومفارش
cat_Pet_Supplies,Pet Supplies,ציוד לחיות מחמד,Articoli per animali,Artículos para mascotas,Articles pour animaux,مستلزمات الحيوانات الأليفة
cat_Baby_Supplies,Baby Supplies,ציוד לתינוקות,Articoli per neonati,Artículos para bebés,Articles pour bébés,مستلزمات الأطفال
cat_Outdoor_Garden_Equipment,Outdoor & Garden,ציוד גן וחוץ,Esterni e giardino,Exterior y jardín,Extérieur et jardin,معدات خارجية وحدائق
cat_Fitness_Gear,Fitness Gear,ציוד כושר,Attrezzatura fitness,Equipo de fitness,Équipement de fitness,معدات لياقة بدنية
cat_Toys,Toys,צעצועים,Giocattoli,Juguetes,Jouets,ألعاب
sub_Dairy_Eggs,Dairy & Eggs,מוצרי חלב וביצים,Latticini e uova,Lácteos y huevos,Produits laitiers et œufs,ألبان وبيض
sub_Meat_Poultry_Fish,Meat & Fish,בשר עוף ודגים,Carne e pesce,Carne y pescado,Viande et poisson,لحوم ودواجن وأسماك
sub_Vegetables_Fresh_,Vegetables,ירקות (טריים),Verdure,Verduras,Légumes,خضروات
sub_Fruits_Fresh_,Fruits,פירות (טריים),Frutta,Frutas,Fruits,فواكه
sub_Pantry_Dry_Goods_Carbs_Legumes_,Pantry & Dry Goods,מזווה ויבשים,Dispensa e secchi,Despensa y secos,Garde-manger et secs,مؤن ومواد جافة
sub_Spices_Baking_Goods,Spices & Baking,תבלינים ואפייה,Spezie e dolci,Especias y repostería,Épices et pâtisserie,بهارات ومستلزمات خبز
sub_Sauces_Spreads,Sauces & Spreads,רטבים וממרחים,Salse e creme,Salsas y untables,Sauces et pâtes à tartiner,صلصات ومعاجين
sub_Canned_Goods,Canned Goods,שימורים,Prodotti in scatola,Enlatados,Conserves,معلبات
sub_Bread_Pastries,Bread & Pastries,לחם ומאפים,Pane e dolci,Pan y pasteles,Pain et pâtisseries,خبز ومعجنات
sub_Beverages,Beverages,משקאות,Bevande,Bebidas,Boissons,مشروبات
sub_Snacks_Sweets,Snacks & Sweets,חטיפים וממתקים,Snack e dolci,Snacks y dulces,Snacks et bonbons,وجبات خفيفة وحلويات
sub_Dietary_Supplements_Vitamins,Supplements & Vitamins,תוספי תזונה וויטמינים,Integratori e vitamine,Suplementos y vitaminas,Compléments et vitamines,مكملات غذائية وفيتامينات
sub_General_Cleaning,General Cleaning,ניקיון כללי,Pulizia generale,Limpieza general,Nettoyage général,تنظيف عام
sub_Laundry,Laundry,כביסה,Bucato,Lavandería,Blanchisserie,غسيل
sub_Dishwashing,Dishwashing,שטיפת כלים,Lavaggio piatti,Lavado de vajilla,Vaisselle,غسل الأطباق
sub_Accessories_Consumables_Kitchen_Cleaning_,Accessories & Consumables,אביזרים ומתכלים,Accessori e consumabili,Accesorios y consumibles,Accessoires et consommables,ملحقات ومواد استهلاكية
sub_Personal_Hygiene,Personal Hygiene,היגיינה אישית,Igiene personale,Higiene personal,Hygiène personnelle,نظافة شخصية
sub_Paper_Products,Paper Products,מוצרי נייר,Prodotti di carta,Productos de papel,Produits en papier,منتجات ورقية
sub_First_Aid_OTC_Medicines,First Aid & OTC,עזרה ראשונה ותרופות,Primo soccorso e OTC,Primeros auxilios y OTC,Premiers soins et OTC,إسعافات أولية وأدوية
sub_Electrical_Lighting,Electrical & Lighting,חשמל ותאורה,Elettricità e illuminazione,Electricidad e iluminación,Électricité et éclairage,كهرباء وإضاءة
sub_Miscellaneous_Maintenance,Misc. & Maintenance,שונות ותחזוקה,Varie e manutenzione,Varios y mantenimiento,Divers et entretien,متفرقات وصيانة
sub_Stationery_Desk_Supplies,Stationery & Desk,ציוד משרדי,Cancelleria e scrivania,Papelería y escritorio,Papeterie et bureau,قرطاسية ولوازم مكتبية
sub_Hand_Tools,Hand Tools,כלי עבודה ידניים,Utensili manuali,Herramientas manuales,Outils manuels,أدوات يدوية
sub_Materials_Accessories,Materials & Acc.,חומרים ואביזרים,Materiali e acc.,Materiales y acc.,Matériaux et acc.,مواد وملحقات
sub_Power_Tools_Basic_for_Home_,Power Tools,כלי עבודה חשמליים,Elettroutensili,Herramientas eléctricas,Outils électriques,أدوات كهربائية
sub_Pain_Relievers_Fever_Reducers,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات ألم
sub_First_Aid_Supplies,First Aid Supplies,ציוד עזרה ראשונה,Forniture primo soccorso,Suministros primeros auxilios,Fournitures premiers soins,مستلزمات الإسعافات الأولية
sub_Topical_Treatments_Ointments,Ointments,טיפולים ומשחות,Trattamenti topici,Tratamientos tópicos,Traitements topiques,علاجات موضعية ومراهم
sub_Miscellaneous_Winter_Illnesses,Winter Illnesses,מחלות חורף,Malattie invernali,Enfermedades de invierno,Maladies d'hiver,أمراض الشتاء
sub_Pots_Pans,Pots & Pans,סירים ומחבתות,Pentole e padelle,Ollas y sartenes,Casseroles et poêles,أواني ومقالي
sub_Dinnerware_Serving,Dinnerware,כלי הגשה ואוכל,Stoviglie,Vajilla,Vaisselle,أطباق وتقديم
sub_Cooking_Baking_Cutting_Accessories,Cooking Accessories,אביזרי בישול ואפייה,Accessori cucina,Accesorios cocina,Accessoires cuisine,ملحقات طبخ
sub_Storage_Organization,Storage & Org.,אחסון וארגון,Conservazione e org.,Almacenamiento y org.,Rangement et org.,تخزين وتنظيم
sub_Small_Kitchen_Appliances_Basic_,Small Appliances,מכשירי חשמל קטנים,Piccoli elettrodomestici,Pequeños electrodomésticos,Petits appareils,أجهزة مطبخ صغيرة
sub_Entertainment_Computing,Entertainment & Tech,בידור ומחשוב,Intrattenimento e tech,Entretenimiento y tec.,Divertissement et tech.,ترفيه وحوسبة
sub_Major_Appliances_White_Goods_,Major Appliances,מוצרי חשמל גדולים,Grandi elettrodomestici,Electrodomésticos principales,Gros électroménager,أجهزة رئيسية
sub_Small_Home_Appliances_Smart_Tech,Smart Tech & Small App,מכשירים חכמים לבית,Smart Tech e piccoli app,Smart Tech y pequeños elec,Smart Tech et petits app,أجهزة ذكية ومنزلية
sub_Everyday_Clothing,Everyday Clothing,ביגוד יומיומי,Abbigliamento quotidiano,Ropa de uso diario,Vêtements de tous les jours,ملابس يومية
sub_Intimates_Loungewear,Intimates & Lounge,הלבשה תחתונה,Intimo e casa,Ropa íntima y estar,Sous-vêtements et détente,ملابس داخلية
